2024-02-23 12:12:46,390 INFO    MainThread:26834 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-02-23 12:12:46,391 INFO    MainThread:26834 [wandb_setup.py:_flush():76] Configure stats pid to 26834
2024-02-23 12:12:46,391 INFO    MainThread:26834 [wandb_setup.py:_flush():76] Loading settings from /Users/bm1212.108/.config/wandb/settings
2024-02-23 12:12:46,391 INFO    MainThread:26834 [wandb_setup.py:_flush():76] Loading settings from /Users/bm1212.108/Desktop/bm108.local/GITHUB/PUBLIC/AIM-Course-Work/AIE-Bootcamp/homeworks/hw3/wandb/settings
2024-02-23 12:12:46,391 INFO    MainThread:26834 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'api_key': '***REDACTED***', 'notebook_name': 'Python RAQA Example.ipynb'}
2024-02-23 12:12:46,391 INFO    MainThread:26834 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-23 12:12:46,391 INFO    MainThread:26834 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-02-23 12:12:46,391 INFO    MainThread:26834 [wandb_init.py:_log_setup():526] Logging user logs to /Users/bm1212.108/Desktop/bm108.local/GITHUB/PUBLIC/AIM-Course-Work/AIE-Bootcamp/homeworks/hw3/wandb/run-20240223_121246-mgrlg1ga/logs/debug.log
2024-02-23 12:12:46,391 INFO    MainThread:26834 [wandb_init.py:_log_setup():527] Logging internal logs to /Users/bm1212.108/Desktop/bm108.local/GITHUB/PUBLIC/AIM-Course-Work/AIE-Bootcamp/homeworks/hw3/wandb/run-20240223_121246-mgrlg1ga/logs/debug-internal.log
2024-02-23 12:12:46,391 INFO    MainThread:26834 [wandb_init.py:init():566] calling init triggers
2024-02-23 12:12:46,391 INFO    MainThread:26834 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-02-23 12:12:46,391 INFO    MainThread:26834 [wandb_init.py:init():591] re-initializing run, found existing run on stack: 23pwcwhj
2024-02-23 12:12:46,393 INFO    MainThread:26834 [wandb_run.py:_finish():1970] finishing run vectorize/Visibility Example/23pwcwhj
2024-02-23 12:12:46,394 ERROR   MainThread:26834 [jupyter.py:save_history():437] Run pip install nbformat to save notebook history
2024-02-23 12:12:46,394 INFO    MainThread:26834 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-02-23 12:12:46,394 INFO    MainThread:26834 [wandb_init.py:_jupyter_teardown():454] cleaning up jupyter logic
2024-02-23 12:12:46,394 INFO    MainThread:26834 [wandb_run.py:_atexit_cleanup():2210] got exitcode: 0
2024-02-23 12:12:46,394 INFO    MainThread:26834 [wandb_run.py:_restore():2193] restore
2024-02-23 12:12:46,394 INFO    MainThread:26834 [wandb_run.py:_restore():2199] restore done
2024-02-23 12:12:49,481 INFO    MainThread:26834 [wandb_run.py:_footer_history_summary_info():3866] rendering history
2024-02-23 12:12:49,481 INFO    MainThread:26834 [wandb_run.py:_footer_history_summary_info():3898] rendering summary
2024-02-23 12:12:49,485 INFO    MainThread:26834 [wandb_run.py:_footer_sync_info():3825] logging synced files
2024-02-23 12:12:49,533 INFO    MainThread:26834 [wandb_init.py:init():616] starting backend
2024-02-23 12:12:49,533 INFO    MainThread:26834 [wandb_init.py:init():620] setting up manager
2024-02-23 12:12:49,535 INFO    MainThread:26834 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-02-23 12:12:49,535 INFO    MainThread:26834 [wandb_init.py:init():628] backend started and connected
2024-02-23 12:12:49,543 INFO    MainThread:26834 [wandb_run.py:_label_probe_notebook():1295] probe notebook
2024-02-23 12:12:49,543 INFO    MainThread:26834 [wandb_run.py:_label_probe_notebook():1305] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-02-23 12:12:49,543 INFO    MainThread:26834 [wandb_init.py:init():720] updated telemetry
2024-02-23 12:12:49,584 INFO    MainThread:26834 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-23 12:12:50,771 INFO    MainThread:26834 [wandb_run.py:_on_init():2262] communicating current version
2024-02-23 12:12:50,916 INFO    MainThread:26834 [wandb_run.py:_on_init():2271] got version response 
2024-02-23 12:12:50,916 INFO    MainThread:26834 [wandb_init.py:init():804] starting run threads in backend
2024-02-23 12:12:56,335 INFO    MainThread:26834 [wandb_run.py:_console_start():2241] atexit reg
2024-02-23 12:12:56,335 INFO    MainThread:26834 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-02-23 12:12:56,335 INFO    MainThread:26834 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-02-23 12:12:56,335 INFO    MainThread:26834 [wandb_run.py:_redirect():2186] Redirects installed.
2024-02-23 12:12:56,335 INFO    MainThread:26834 [wandb_init.py:init():847] run started, returning control to user process
2024-02-23 12:14:40,386 INFO    MainThread:26834 [wandb_run.py:_finish():1970] finishing run vectorize/Visibility Example/mgrlg1ga
2024-02-23 12:14:40,387 INFO    MainThread:26834 [wandb_run.py:_atexit_cleanup():2210] got exitcode: 0
2024-02-23 12:14:40,388 INFO    MainThread:26834 [wandb_run.py:_restore():2193] restore
2024-02-23 12:14:40,388 INFO    MainThread:26834 [wandb_run.py:_restore():2199] restore done
2024-02-23 12:14:43,166 INFO    MainThread:26834 [wandb_run.py:_footer_history_summary_info():3866] rendering history
2024-02-23 12:14:43,168 INFO    MainThread:26834 [wandb_run.py:_footer_history_summary_info():3898] rendering summary
2024-02-23 12:14:43,175 INFO    MainThread:26834 [wandb_run.py:_footer_sync_info():3825] logging synced files
